Logger:         	Automatically truncated logfile to 1048576, MadelineProto 8.3.5
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
SessionPaths:   	Got exclusive lock of /var/www/html/rustream/public/session.madeline/lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
